               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     PROJECT                  STP>Solar Terrestrial Probes
     SOURCE_NAME              sta>Solar Terrestrial Relations Observatory Ahead of the Sun-Earth Line
     DISCIPLINE               Solar Physics>Heliospheric Physics
     DATA_TYPE                COHO1HR>1 Hour Time Resolution from cohoweb
     DESCRIPTOR               MAG_PLASMA>Merged Trajectory, Magnetic Field, and Plasma
     DATA_VERSION             1
     TEXT                     The Solar-Terrestrial Relations Observatory (STEREO) mission includes two spacecraft                   
     TEXT                      respectively lagging (STEREO A) and leading (STEREO B) the Earth in heliocentric                      
     TEXT                      orbit around the Sun for remote 3-D imaging and radio observations of coronal                         
     TEXT                      mass ejections (CMEs).  These events are responsible for large solar energetic                        
     TEXT                      particle events in interplanetary space and are the primary cause of major                            
     TEXT                      geomagnetic storms at Earth. The two spacecraft are launched to drift slowly                          
     TEXT                      away from the Earth in opposite directions at about 10 degrees per year for                           
     TEXT                      the lagging spacecraft and 20 degrees per year for the leading one. Optimal                           
     TEXT                      longitudinal separation of about sixty degrees is achieved after two years.                           
     TEXT                      Afterwards the separation gradually increases beyond the design lifetime of                           
     TEXT                      two years with the possibility of extended mission observations at larger angles.                     
     TEXT                      Science instruments selected for STEREO include the Sun Earth Connection Coronal                      
     TEXT                      and Heliospheric Investigation (SECCHI) for extreme ultraviolet (EUV), white-light                    
     TEXT                      coronographic, and heliospheric imaging, the STEREO/WAVES (SWAVES) interplanetary                     
     TEXT                      radio burst tracker, the In situ Measurements of Particles and CME Transients                         
     TEXT                      (IMPACT) investigation for in-situ sampling the 3-D distribution and plasma                           
     TEXT                      characteristics of solar energetic particles and the interplanetary magnetic                          
     TEXT                      field, and the PLAsma and SupraThermal Ion and Composition (PLASTIC) experiment                       
     TEXT                      to measure elemental and charge composition of ambient and CME plasma ions.                           
     TEXT                      STEREO data recorded and stored onboard each spacecraft will be downlinked                            
     TEXT                      through the NASA Deep Space Network on a daily schedule. Real-time space weather                      
     TEXT                      data will be continuously transmitted through a separate beacon system to NASA                        
                               and non-NASA receiving stations.                                                                      
                              About STEREO data in COHOWEB STEREO-A and -B data are from the magnetometer                            
                               of the IMPACT package and from the PLASTIC plasma detector.  Principal Investigators                  
                               for these packages are Janet Luhmann (UCB) and Antoinette Galvin (UNH), respectively.                 
                                Magnetic field  data were obtained as 10-min averages from the UCLA web site                         
                               at http://aten.igpp.ucla.edu/forms/stereo/ascii_PLASTIC_10m_new.html, courtesy                        
                               of C.T. Russell.  COHOWeb's magnetic field hourly averages were created at                            
                               GSFC/SPDF by averaging over the six 10-min averages falling within each hour.                         
                                Hourly plasma parameter data, including plasma flow direction angles for STEREO-A                    
                               but not yet for STEREO B (as of 7/11/2010), were obtained from UNH via http://fiji.sr.unh.edu/1dmax_as
     NSSDC_ID                 2006-047A
     LOGICAL_FILE_ID          sta_coho1hr_merged_mag_plasma_00000000_v01
     LOGICAL_SOURCE           sta_coho1hr_merged_mag_plasma
     LOGICAL_SOURCE_DESCR     Merged hourly magnetic field, plasma and ephermis data
     PI_NAME                  Natasha Papitashvili
     PI_AFFILIATION           NASA/GSFC
     MISSION_GROUP            STEREO
     INSTRUMENT_TYPE          Magnetic Fields (space)
                              Plasma and Solar Wind
                              Ephemeris
     TIME_RESOLUTION          1 hour
     LINK_TEXT                COHO dataset
                              Additional analysis tools for these data from the
     LINK_TITLE               Documentation
                              COHOWeb service
     HTTP_LINK                http://cohoweb.gsfc.nasa.gov/html/cw_data.html
                              http://cohoweb.gsfc.nasa.gov

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Time, beginning of interval
 2. Radial Distance
 3. HelioGraphic Inertial (HGI) latitude of the spacecraft position at the start of data interval
 4. HelioGraphic Inertial (HGI) longitude of the spacecraft position at the start of data interval
 5. IMF BR in RTN (Radial-Tangential-Normal) coordinate system
 6. IMF BT in RTN coordinate system
 7. IMF BN in RTN coordinate system
 8. B scalar
 9. SW plasma speed
10. SW lat angle in RTN coordinate system
11. SW lon angle in RTN coordinate system
12. SW plasma density
13. SW plasma Temperature

EPOCH                   RADIAL_DISTANCE       HGI_LAT      HGI_LONG      BR_(RTN)      BT_(RTN)      BN_(RTN)             B  PLASMA_SPEED  SW_LAT_(RTN)  SW_LON_(RTN) SW_PLASMA_DENS SW_PLASMA_TEMP
dd-mm-yyyy_hh:mm:ss.ms               AU           deg           deg            nT            nT            nT            nT          km/s           deg           deg          N/cm3          deg_K
01-11-2009 00:00:00.000        0.970000      -3.20000       25.3000     -0.190000       5.92000       3.52000       6.96000       536.000       1.70000      0.200000        15.1000        24300.0
01-11-2009 01:00:00.000        0.970000      -3.20000       25.3000       1.68000       2.84000       1.10000       5.07000       539.000       1.00000     -0.300000        9.71000        70900.0
01-11-2009 02:00:00.000        0.970000      -3.20000       25.4000       5.18000      -1.21000      -2.34000       5.85000       548.000     -0.400000     -0.600000        1.74000        145000.
01-11-2009 03:00:00.000        0.970000      -3.20000       25.4000       4.99000      -1.55000      -2.90000       6.03000       544.000     -0.400000     -0.900000       0.450000        37400.0
01-11-2009 04:00:00.000        0.970000      -3.20000       25.5000       5.42000      -1.07000      -2.96000       6.31000       533.000       0.00000     -0.200000       0.570000        37500.0
01-11-2009 05:00:00.000        0.970000      -3.20000       25.5000       5.64000      -1.03000      -3.33000       6.63000       529.000     -0.500000       0.00000       0.570000        19800.0
01-11-2009 06:00:00.000        0.970000      -3.20000       25.6000       6.08000      -1.07000      -3.13000       6.93000       523.000      0.100000       1.90000       0.500000        20900.0
01-11-2009 07:00:00.000        0.970000      -3.20000       25.6000       5.69000     -0.490000      -2.99000       6.73000       516.000     -0.200000       1.10000        1.09000        24000.0
01-11-2009 08:00:00.000        0.970000      -3.20000       25.7000       4.71000       3.67000      -1.19000       6.34000       511.000      -2.00000     -0.800000        3.53000        42500.0
01-11-2009 09:00:00.000        0.970000      -3.20000       25.7000       3.85000       3.42000     -0.770000       5.48000       513.000      -2.40000     -0.400000        5.00000        47400.0
01-11-2009 10:00:00.000        0.970000      -3.20000       25.8000       3.41000       3.31000     -0.760000       4.94000       497.000      -2.50000      0.300000        5.30000        42600.0
01-11-2009 11:00:00.000        0.970000      -3.20000       25.8000       2.82000       3.23000      -1.82000       4.69000       495.000      -2.60000      0.100000        5.72000        42300.0
01-11-2009 12:00:00.000        0.970000      -3.30000       25.8000       2.97000       2.89000      -2.21000       4.77000       499.000      -3.30000     -0.100000        5.03000        43200.0
01-11-2009 13:00:00.000        0.970000      -3.30000       25.9000       3.78000       1.40000      -2.70000       4.89000       508.000      -4.30000      -1.40000        3.71000        80200.0
01-11-2009 14:00:00.000        0.970000      -3.30000       25.9000       3.03000       1.65000      -3.25000       4.83000       502.000      -2.50000      -6.20000        1.88000        81400.0
01-11-2009 15:00:00.000        0.970000      -3.30000       26.0000       2.87000       1.41000      -3.41000       4.69000       489.000      -2.10000      -7.10000        1.19000        91300.0
01-11-2009 16:00:00.000        0.970000      -3.30000       26.0000       2.60000      0.850000      -3.75000       4.75000       487.000      -1.20000      -8.10000       0.690000        173000.
01-11-2009 17:00:00.000        0.970000      -3.30000       26.1000       3.52000     -0.340000      -3.11000       4.74000       437.000      -2.10000      -4.80000       0.390000        250000.
01-11-2009 18:00:00.000        0.970000      -3.30000       26.1000       2.38000       1.75000      -3.83000       4.95000       415.000      -1.80000       2.80000       0.470000        74400.0
01-11-2009 19:00:00.000        0.970000      -3.30000       26.2000       2.75000       1.25000      -4.37000       5.38000       449.000     -0.900000      -10.3000       0.300000        108000.
01-11-2009 20:00:00.000        0.970000      -3.30000       26.2000       1.42000       1.79000      -5.18000       5.69000       446.000      -1.10000      -11.0000       0.290000        52400.0
01-11-2009 21:00:00.000        0.970000      -3.30000       26.3000       1.56000       2.65000      -5.28000       6.14000       446.000      -2.50000      -9.70000       0.280000        43500.0
01-11-2009 22:00:00.000        0.970000      -3.30000       26.3000      0.300000       2.52000      -5.79000       6.35000       432.000      -2.40000      -9.70000       0.390000        65500.0
01-11-2009 23:00:00.000        0.970000      -3.30000       26.4000     -0.680000       3.23000      -5.64000       6.58000       422.000     -0.900000      -9.40000       0.550000        84000.0
02-11-2009 00:00:00.000        0.970000      -3.30000       26.4000    -0.0500000       4.57000      -5.55000       7.29000       420.000      0.800000      -5.30000       0.450000        118000.
02-11-2009 01:00:00.000        0.970000      -3.30000       26.4000      0.970000       5.36000      -5.80000       8.04000       411.000       1.70000      -7.40000       0.450000        92700.0
02-11-2009 02:00:00.000        0.970000      -3.30000       26.5000     -0.440000       7.70000      -3.01000       8.76000       413.000     -0.200000      -10.9000       0.520000        80700.0
02-11-2009 03:00:00.000        0.970000      -3.30000       26.5000     -0.680000       8.00000      -1.87000       8.30000       415.000     -0.600000      -10.8000       0.510000        79600.0
02-11-2009 04:00:00.000        0.970000      -3.30000       26.6000      -2.74000       7.02000      -1.13000       7.79000       421.000      -1.10000      -10.8000       0.570000        88100.0
